track_id,images,human_prompt,question,answer,age_reasoning,gender_reasoning,attention_reasoning,judgment_reasoning,position_reasoning,appearance_reasoning,physical_reasoning,spatial_reasoning,temporal_reasoning,mathematical_reasoning,conclusion
V3_0,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t0_f80.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t0_f102.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t0_f124.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V3_6,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t6_f1107.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t6_f1154.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t6_f1200.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned in the middle of the road and is not on the sidewalk, according to the metadata.","The pedestrian has a extravagant fashion personality, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated in the middle of the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V3_12,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V3_t12_f3049.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V3_t12_f3059.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V3_t12_f3069.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as a senior based on the metadata.,The pedestrian is identified as female according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V3_13,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t13_f3240.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t13_f3319.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t13_f3398.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as female according to the metadata.,"The pedestrian appears distracted and may be less attentive to oncoming traffic, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a extravagant fashion personality, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V3_14,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V3_t14_f3427.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V3_t14_f3510.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V3_t14_f3592.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as a senior based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V3_16,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V3_t16_f3852.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V3_t16_f3872.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V3_t16_f3891.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as a child based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a extravagant fashion personality, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V3_18,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t18_f4108.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t18_f4114.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V3_t18_f4119.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is giving a hand signal, suggesting an intent to cross, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a extravagant fashion personality, according to the metadata.","The pedestrian's build is noted as a heavier build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V4_7,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t7_f502.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t7_f546.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t7_f589.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V4_8,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t8_f531.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t8_f560.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t8_f589.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as a senior based on the metadata.,The pedestrian is identified as female according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a formal style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V4_9,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t9_f614.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t9_f669.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t9_f726.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as a senior based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears distracted and may be less attentive to oncoming traffic, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
